Code,LatestOP,CAGR,IsGrowthB,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap
85720,81984000000.0,0.02360559832486997,True,0.4829942808988187,54097752000.0,Mid,819840000000.0,14.15478868696799
23840,21295000000.0,0.047252873984266586,True,0.36486167010713505,26279800000.0,Mid,212950000000.0,7.10318191158228
88500,25939000000.0,0.024569220839477435,True,0.5557912749947256,32488150000.0,Mid,259390000000.0,6.984141910204182
95050,80084000000.0,0.005134924523420237,True,0.24263399243086833,112428050000.0,Mid,800840000000.0,6.123133417327793
69950,29598000000.0,0.017451236581447427,True,0.696796388607948,41916000000.0,Mid,295980000000.0,6.061265387918694
30500,26760000000.0,-0.009975968646024458,True,0.43823298120899495,40005400000.0,Mid,267600000000.0,5.689096971908793
82830,21947000000.0,-0.005527183716249384,True,0.5511751521915398,35990280000.0,Mid,219470000000.0,5.098035358435666
19410,17562000000.0,0.04377625435736965,True,0.7967896276218646,29013600000.0,Mid,175620000000.0,5.053023409711308
72420,31240000000.0,0.19555286417048356,True,0.5030994844223323,52276400000.0,Mid,312400000000.0,4.975927952192577
35910,22673000000.0,0.1961656129740177,True,0.72051649332586,39565650000.0,Mid,226730000000.0,4.730475804138186
26510,55056000000.0,0.03981279727668241,True,0.21014942547245358,96585500000.0,Mid,550560000000.0,4.700234507250053
82180,20643000000.0,0.08645179255581281,True,0.6577590560992306,37106700000.0,Mid,206430000000.0,4.563146278165399
91100,15073000000.0,-0.027649921615729656,True,0.6059378989388648,27360900000.0,Mid,150730000000.0,4.508956211235741
98300,22816000000.0,0.03376512043557023,True,0.6040102607674821,41954990000.0,Mid,228160000000.0,4.438208899585008
69600,16400000000.0,-0.01457499024531106,True,0.8405550822344051,30591500000.0,Mid,164000000000.0,4.360966281483418
59010,41002000000.0,0.07571300208857967,True,0.5778050317764417,76494000000.0,Mid,410020000000.0,4.360158966716344
62500,19722000000.0,0.37143907965970246,True,0.707862516595368,37410000000.0,Mid,197220000000.0,4.271852445870088
89230,22336000000.0,0.10649000828116972,True,0.33450542730469346,42603260000.0,Mid,223360000000.0,4.242791279352801
45530,19490000000.0,0.011603987356454626,True,0.388002520014891,38387400000.0,Mid,194900000000.0,4.0771867852472425
54400,13442000000.0,0.08503919820329475,True,0.5966843819163483,26852830000.0,Mid,134420000000.0,4.005803857544996
