Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
95050,2025-04-01,849.1,2026-03-13,1052.5,0.23954775644800375
51010,2025-04-01,3452.0,2026-03-13,6135.0,0.7772305909617613
72010,2025-04-01,384.0,2026-03-13,364.6,-0.05052083333333327
31160,2025-04-01,2004.5,2026-03-13,2693.5,0.343726615115989
40050,2025-04-01,362.8,2026-03-13,498.9,0.3751378169790517
46890,2025-04-01,513.9,2026-03-13,398.2,-0.22514107803074526
19280,2025-04-01,3400.0,2026-03-13,3543.0,0.04205882352941177
74590,2025-04-01,2373.0,2026-03-13,2795.0,0.1778339654445849
72820,2025-04-01,2709.0,2026-03-13,4356.0,0.6079734219269103
72020,2025-04-01,2037.0,2026-03-13,2494.5,0.22459499263622976
40880,2025-04-01,1918.0,2026-03-13,2102.5,0.09619395203336809
95030,2025-04-01,1808.5,2026-03-13,2584.5,0.4290848769698645
63010,2025-04-01,4376.0,2026-03-13,7093.0,0.6208866544789763
25870,2025-04-01,4975.0,2026-03-13,4590.0,-0.07738693467336684
19250,2025-04-01,5008.0,2026-03-13,5200.0,0.038338658146964855
79880,2025-04-01,3610.0,2026-03-13,4614.0,0.27811634349030473
91430,2025-04-01,1514.0,2026-03-13,1479.0,-0.023117569352708058
94330,2025-04-01,2404.5,2026-03-13,2632.0,0.09461426491994178
34050,2025-04-01,1856.5,2026-03-13,1705.0,-0.08160517102073794
72700,2025-04-01,2659.5,2026-03-13,2624.5,-0.01316036849031773
