Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
50190,2024-04-01,1048.0,2025-03-31,1053.0,0.004770992366412214
94340,2024-04-01,1949.0,2025-03-31,208.4,-0.8930733709594664
72020,2024-04-01,2077.0,2025-03-31,2016.5,-0.029128550794415023
95030,2024-04-01,2205.0,2025-03-31,1772.5,-0.1961451247165533
50200,2024-04-01,726.0,2025-03-31,782.3,0.07754820936639112
72700,2024-04-01,3460.0,2025-03-31,2645.0,-0.23554913294797689
63260,2024-04-01,2402.5,2025-03-31,1831.0,-0.23787721123829345
72030,2024-04-01,3801.0,2025-03-31,2616.0,-0.31176006314127863
67520,2024-04-01,1446.0,2025-03-31,1771.5,0.22510373443983403
51080,2024-04-01,6738.0,2025-03-31,5995.0,-0.11027010982487385
94320,2024-04-01,180.0,2025-03-31,144.7,-0.19611111111111118
63010,2024-04-01,4468.0,2025-03-31,4306.0,-0.03625783348254252
72670,2024-04-01,1905.0,2025-03-31,1342.5,-0.2952755905511811
46890,2024-04-01,391.8,2025-03-31,506.3,0.2922409392547218
72010,2024-04-01,612.5,2025-03-31,378.7,-0.38171428571428573
29140,2024-04-01,4079.0,2025-03-31,4114.0,0.008580534444716842
80010,2024-04-01,6495.0,2025-03-31,6901.0,0.06250962278675905
25870,2024-04-01,5077.0,2025-03-31,4948.0,-0.02540870592869805
94330,2024-04-01,4500.0,2025-03-31,2359.5,-0.4756666666666667
92020,2024-04-01,3190.0,2025-03-31,2759.5,-0.13495297805642634
